1,5000,4999.9,TRUE,1,TRUE,12/13/2028
2,2500.1,4999.9,TRUE,0.95,TRUE,12-15-16-28
3,1250,4999.9,TRUE,0.925,TRUE,12-15-18-19-28
4,500.1,4999.9,TRUE,0.9,TRUE,12-15-18-21-22-28
5,500,4999.9,TRUE,0.85,TRUE,12-15-18-21-24-28
6,500,4999.9,TRUE,0.85,TRUE,12-15-18-21-24-25-28
7,10000.1,250,FALSE,1,FALSE,fttt
8,10000,249.9,FALSE,1,FALSE,tftt
9,10000,5000,FALSE,1,FALSE,ttft
10,10000,250,FALSE,1,FALSE,tttf
11,10000,4999.9,TRUE,1,TRUE,tttt
12,500,4999.9,TRUE,0.85,TRUE,BV-4
13,4999.9,4999.9,TRUE,0.95,TRUE,BV-1
14,2500,4999.9,TRUE,0.925,TRUE,BV-2
15,1249.9,4999.9,TRUE,0.9,TRUE,BV-3
