1,Start,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,S0
2,S0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,S0
3,S0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,S0
4,S0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,S0
5,S0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,S1
6,S1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,S2
7,S1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,S1
8,S1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,S1
9,S1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,S3
10,S2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,S2
11,S2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,S2
12,S2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,S2
13,S2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,S3
14,S3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,S3
15,S3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,S0
16,S3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,S1
17,S3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,S1
